0,player_A1,player_A2,player_A3,player_A4,player_A5,player_A6,score_A,player_B1,player_B2,player_B3,player_B4,player_B5,player_B6,score_B
1,P00080,P00001,P00032,P00045,P00103,P00050,P00086,P00115,P00010,P00011,P00040,P00008,5.0,0.0
2,P00083,P00103,P00149,P00093,P00136,P00095,P00072,P00129,P00092,P00148,P00126,P00030,0.0,4.0
3,P00035,P00102,P00003,P00053,P00009,P00019,P00066,P00030,P00011,P00082,P00119,P00045,0.0,0.0
4,P00076,P00052,P00083,P00048,P00080,P00104,P00091,P00035,P00066,P00138,P00143,P00014,1.0,0.0
5,P00015,P00132,P00042,P00084,P00075,P00062,P00137,P00072,P00091,P00002,P00068,P00093,0.0,2.0
6,P00072,P00063,P00039,P00137,P00021,P00109,P00069,P00112,P00087,P00147,P00076,P00132,4.0,0.0
7,P00083,P00082,P00050,P00147,P00137,P00084,P00057,P00014,P00148,P00112,P00064,P00027,1.0,0.0
8,P00131,P00146,P00100,P00150,P00017,P00067,P00001,P00114,P00066,P00093,P00023,P00110,2.0,0.0
9,P00053,P00088,P00074,P00003,P00141,P00145,P00097,P00099,P00028,P00076,P00077,P00039,1.0,0.0
10,P00092,P00120,P00010,P00071,P00041,P00016,P00088,P00117,P00022,P00082,P00058,P00037,0.0,0.0
11,P00034,P00061,P00110,P00069,P00100,P00009,P00139,P00036,P00018,P00010,P00104,P00029,2.0,0.0
12,P00096,P00077,P00065,P00126,P00141,P00028,P00149,P00039,P00131,P00125,P00056,P00118,0.0,0.0
13,P00128,P00002,P00079,P00072,P00109,P00013,P00063,P00065,P00089,P00071,P00082,P00085,0.0,0.0
14,P00148,P00005,P00010,P00002,P00139,P00043,P00137,P00108,P00069,P00070,P00078,P00081,0.0,4.0
15,P00051,P00050,P00134,P00059,P00138,P00080,P00093,P00149,P00014,P00143,P00124,P00056,2.0,0.0
16,P00126,P00037,P00136,P00097,P00017,P00140,P00082,P00047,P00093,P00020,P00061,P00089,0.0,4.0
17,P00054,P00119,P00038,P00128,P00055,P00049,P00023,P00022,P00086,P00004,P00079,P00137,0.0,1.0
18,P00113,P00001,P00101,P00104,P00018,P00142,P00127,P00007,P00005,P00147,P00077,P00150,0.0,4.0
19,P00125,P00091,P00055,P00007,P00106,P00128,P00078,P00046,P00121,P00088,P00081,P00075,0.0,4.0
20,P00123,P00126,P00093,P00023,P00022,P00009,P00030,P00089,P00114,P00138,P00101,P00132,1.0,0.0
21,P00143,P00006,P00100,P00090,P00029,P00069,P00012,P00063,P00125,P00088,P00149,P00056,0.0,0.0
22,P00069,P00068,P00043,P00091,P00077,P00101,P00025,P00037,P00053,P00010,P00079,P00035,1.0,0.0
23,P00071,P00060,P00034,P00089,P00068,P00064,P00111,P00028,P00042,P00023,P00061,P00008,2.0,0.0
24,P00082,P00110,P00118,P00002,P00031,P00135,P00128,P00102,P00126,P00063,P00113,P00013,3.0,0.0
25,P00063,P00072,P00146,P00079,P00106,P00041,P00149,P00022,P00093,P00123,P00125,P00058,2.0,0.0
26,P00018,P00008,P00001,P00091,P00120,P00059,P00007,P00041,P00079,P00138,P00069,P00072,0.0,4.0
